0.513 (0.513)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/music/instrument/instrumentalists, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.504 (0.504)	/award/award_category/winners./award/award_honor/award_winner <-- /film/film/produced_by, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.549 (0.549)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_winning_work/awards_won./award/award_honor/award_winner, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.528 (0.528)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_winner/awards_won./award/award_honor/award_winner, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.499 (0.499)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_ceremony/awards_presented./award/award_honor/award_winner, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.474 (0.474)	/award/award_category/winners./award/award_honor/award_winner <-- /award/award_category/winners./award/award_honor/award_winner, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.462 (0.462)	/award/award_category/winners./award/award_honor/award_winner <-- /film/film/edited_by, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.460 (0.460)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/film/film/executive_produced_by, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.459 (0.459)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_winner/awards_won./award/award_honor/award_winner, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.458 (0.458)	/award/award_category/winners./award/award_honor/award_winner <-- inv_/award/award_winning_work/awards_won./award/award_honor/award, inv_/award/award_winning_work/awards_won./award/award_honor/award
0.303 (0.303)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/government/politician/government_positions_held./government/government_position_held/legislative_sessions, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.298 (0.298)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.293 (0.293)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/people/profession/specialization_of, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.294 (0.294)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/people/person/spouse_s./people/marriage/location_of_ceremony, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.296 (0.296)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /time/event/locations, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.343 (0.343)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/people/person/places_lived./people/place_lived/location, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.313 (0.313)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /tv/tv_network/programs./tv/tv_network_duration/program, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.292 (0.292)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- inv_/government/legislative_session/members./government/government_position_held/legislative_sessions, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.291 (0.291)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /people/deceased_person/place_of_burial, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.276 (0.276)	/education/field_of_study/students_majoring./education/education/major_field_of_study <-- /tv/tv_program/program_creator, inv_/education/educational_degree/people_with_this_degree./education/education/major_field_of_study
0.324 (0.324)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /education/educational_degree/people_with_this_degree./education/education/major_field_of_study, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.220 (0.220)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/film/actor/dubbing_performances./film/dubbing_performance/language, inv_/education/educational_degree/people_with_this_degree./education/education/institution
0.219 (0.219)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location, inv_/education/educational_degree/people_with_this_degree./education/education/institution
0.207 (0.207)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/business/job_title/people_with_this_title./business/employment_tenure/company, inv_/education/educational_degree/people_with_this_degree./education/education/institution
0.652 (0.652)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- /film/film/language, /film/film_distributor/films_distributed./film/film_film_distributor_relationship/film
0.222 (0.222)	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_language <-- inv_/people/person/places_lived./people/place_lived/location, inv_/education/educational_degree/people_with_this_degree./education/education/institution
