0.142 (0.142)	concept:atlocation <-- concept:persondiedincountry, concept:atlocation
0.159 (0.159)	concept:atlocation <-- concept:statelocatedingeopoliticallocation, concept:atlocation
0.145 (0.145)	concept:atlocation <-- concept:lakeinstate, concept:atlocation
0.140 (0.140)	concept:atlocation <-- concept:academicprogramatuniversity, concept:atlocation
0.163 (0.163)	concept:atlocation <-- inv_concept:politicianrepresentslocation, concept:atlocation
0.140 (0.140)	concept:atlocation <-- concept:stadiumlocatedincity, concept:atlocation
0.139 (0.139)	concept:atlocation <-- concept:leaguestadiums, concept:atlocation
0.138 (0.138)	concept:atlocation <-- inv_concept:parkincity, concept:atlocation
0.137 (0.137)	concept:atlocation <-- inv_concept:lakeinstate, concept:atlocation
0.135 (0.135)	concept:atlocation <-- inv_concept:sportsgameteam, concept:atlocation
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:athletehomestadium, concept:politicianusmemberofpoliticalgroup
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:specializationof, inv_concept:organizationalsoknownas
0.008 (0.008)	concept:agentinvolvedwithitem <-- concept:parkincity, concept:politicianusmemberofpoliticalgroup
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:buildinglocatedincity, concept:politicianusmemberofpoliticalgroup
0.008 (0.008)	concept:agentinvolvedwithitem <-- concept:parkincity, inv_concept:organizationalsoknownas
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:athletehomestadium, concept:parkincity
0.008 (0.008)	concept:agentinvolvedwithitem <-- concept:politicianusmemberofpoliticalgroup, inv_concept:athletehomestadium
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:athleteplaysinleague, concept:politicianusmemberofpoliticalgroup
0.008 (0.008)	concept:agentinvolvedwithitem <-- concept:politicianusmemberofpoliticalgroup, concept:parkincity
0.008 (0.008)	concept:agentinvolvedwithitem <-- inv_concept:athletehomestadium, inv_concept:athletehomestadium
0.008 (0.008)	concept:attractionofcity <-- inv_concept:citycapitalofcountry, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- inv_concept:specializationof, inv_concept:athleteplaysinleague
0.008 (0.008)	concept:attractionofcity <-- inv_concept:specializationof, inv_concept:athletehomestadium
0.009 (0.009)	concept:attractionofcity <-- inv_concept:specializationof, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- inv_concept:hasofficeincountry, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- inv_concept:teamplaysagainstteam, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- inv_concept:leaguestadiums, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- concept:athletehomestadium, inv_concept:specializationof
0.008 (0.008)	concept:attractionofcity <-- inv_concept:specializationof, inv_concept:teamplaysagainstteam
0.008 (0.008)	concept:attractionofcity <-- inv_concept:politicianusmemberofpoliticalgroup, inv_concept:specializationof
0.282 (0.282)	concept:mutualproxyfor <-- concept:organizationdissolvedatdate, concept:locationlocatedwithinlocation
0.227 (0.227)	concept:mutualproxyfor <-- inv_concept:organizationheadquarteredincity, concept:locationlocatedwithinlocation
0.252 (0.252)	concept:mutualproxyfor <-- inv_concept:headquarteredin, concept:locationlocatedwithinlocation
0.258 (0.258)	concept:mutualproxyfor <-- inv_concept:cityalsoknownas, concept:locationlocatedwithinlocation
0.234 (0.234)	concept:mutualproxyfor <-- concept:statelocatedincountry, concept:locationlocatedwithinlocation
0.240 (0.240)	concept:mutualproxyfor <-- concept:statelocatedincountry, inv_concept:proxyfor
0.225 (0.225)	concept:mutualproxyfor <-- concept:teamhomestadium, concept:locationlocatedwithinlocation
0.225 (0.225)	concept:mutualproxyfor <-- inv_concept:proxyfor, concept:locationlocatedwithinlocation
0.225 (0.225)	concept:mutualproxyfor <-- inv_concept:riveremptiesintoriver, concept:locationlocatedwithinlocation
0.222 (0.222)	concept:mutualproxyfor <-- inv_concept:attractionofcity, concept:locationlocatedwithinlocation
0.261 (0.261)	concept:organizationacronymhasname <-- inv_concept:agentbelongstoorganization, concept:organizationacronymhasname
0.314 (0.314)	concept:organizationacronymhasname <-- concept:organizationacronymhasname, concept:organizationalsoknownas
0.290 (0.290)	concept:organizationacronymhasname <-- inv_concept:organizationacronymhasname, concept:organizationacronymhasname
0.456 (0.456)	concept:organizationacronymhasname <-- concept:organizationacronymhasname, concept:organizationacronymhasname
0.333 (0.333)	concept:organizationacronymhasname <-- inv_concept:organizationalsoknownas, concept:organizationacronymhasname
0.372 (0.372)	concept:organizationacronymhasname <-- concept:synonymfor, concept:organizationacronymhasname
0.399 (0.399)	concept:organizationacronymhasname <-- concept:organizationalsoknownas, concept:organizationacronymhasname
0.257 (0.257)	concept:organizationacronymhasname <-- inv_concept:personbelongstoorganization, concept:organizationacronymhasname
0.248 (0.248)	concept:organizationacronymhasname <-- concept:personbelongstoorganization, concept:organizationacronymhasname
0.248 (0.248)	concept:organizationacronymhasname <-- inv_concept:cityalsoknownas, concept:organizationacronymhasname
0.189 (0.189)	concept:worksfor <-- inv_concept:hasofficeincity, concept:worksfor
0.211 (0.211)	concept:worksfor <-- inv_concept:organizationhiredperson, concept:worksfor
0.188 (0.188)	concept:worksfor <-- inv_concept:personbelongstoorganization, concept:worksfor
0.228 (0.228)	concept:worksfor <-- concept:organizationheadquarteredincity, concept:worksfor
0.197 (0.197)	concept:worksfor <-- concept:headquarteredin, concept:worksfor
0.214 (0.214)	concept:worksfor <-- inv_concept:organizationhiredperson, inv_concept:organizationhiredperson
0.194 (0.194)	concept:worksfor <-- concept:riveremptiesintoriver, concept:worksfor
0.189 (0.189)	concept:worksfor <-- concept:organizationheadquarteredincity, inv_concept:organizationhiredperson
0.187 (0.187)	concept:worksfor <-- inv_concept:teamalsoknownas, concept:worksfor
0.184 (0.184)	concept:worksfor <-- inv_concept:agentcollaborateswithagent, concept:worksfor
0.010 (0.010)	concept:coachesinleague <-- inv_concept:persondiedincountry, inv_concept:specializationof
0.010 (0.010)	concept:coachesinleague <-- inv_concept:specializationof, inv_concept:politicianusmemberofpoliticalgroup
0.010 (0.010)	concept:coachesinleague <-- inv_concept:politicianusmemberofpoliticalgroup, inv_concept:specializationof
0.010 (0.010)	concept:coachesinleague <-- inv_concept:specializationof, inv_concept:specializationof
0.010 (0.010)	concept:coachesinleague <-- inv_concept:teamplaysagainstteam, inv_concept:specializationof
0.010 (0.010)	concept:coachesinleague <-- inv_concept:specializationof, inv_concept:teamplaysagainstteam
0.010 (0.010)	concept:coachesinleague <-- inv_concept:specializationof, inv_concept:persondiedincountry
0.009 (0.009)	concept:coachesinleague <-- inv_concept:politicianusmemberofpoliticalgroup, inv_concept:persondiedincountry
0.009 (0.009)	concept:coachesinleague <-- inv_concept:teamplaysagainstteam, inv_concept:politicianusmemberofpoliticalgroup
0.009 (0.009)	concept:coachesinleague <-- inv_concept:persondiedincountry, inv_concept:politicianusmemberofpoliticalgroup
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:citycapitalofcountry, concept:athletehomestadium
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:citycapitalofcountry, concept:teamplaysagainstteam
0.008 (0.008)	concept:athletehomestadium <-- concept:athletehomestadium, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:specializationof, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:athletehomestadium <-- inv_concept:citycapitalofcountry, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:athletehomestadium <-- inv_concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:athletehomestadium <-- concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:teamplaysagainstteam, concept:athletehomestadium
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:teamplaysagainstteam, concept:teamplaysagainstteam
0.008 (0.008)	concept:athletehomestadium <-- inv_concept:citycapitalofcountry, concept:athleteplaysinleague
0.009 (0.009)	concept:persondiedincountry <-- inv_concept:politicianusmemberofpoliticalgroup, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:persondiedincountry <-- inv_concept:citycapitalofcountry, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:persondiedincountry <-- inv_concept:citycapitalofcountry, inv_concept:politicianusmemberofpoliticalgroup
0.009 (0.009)	concept:persondiedincountry <-- inv_concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:persondiedincountry <-- inv_concept:specializationof, inv_concept:teamplaysagainstteam
0.009 (0.009)	concept:persondiedincountry <-- inv_concept:specializationof, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:persondiedincountry <-- inv_concept:citycapitalofcountry, inv_concept:teamplaysagainstteam
0.008 (0.008)	concept:persondiedincountry <-- concept:athletehomestadium, inv_concept:citycapitalofcountry
0.008 (0.008)	concept:persondiedincountry <-- inv_concept:citycapitalofcountry, inv_concept:specializationof
0.008 (0.008)	concept:persondiedincountry <-- inv_concept:specializationof, inv_concept:politicianusmemberofpoliticalgroup
0.343 (0.343)	concept:cityliesonriver <-- inv_concept:agentbelongstoorganization, concept:cityliesonriver
0.344 (0.344)	concept:cityliesonriver <-- inv_concept:companyeconomicsector, concept:cityliesonriver
0.335 (0.335)	concept:cityliesonriver <-- concept:cityliesonriver, concept:cityliesonriver
0.359 (0.359)	concept:cityliesonriver <-- inv_concept:cityalsoknownas, concept:cityliesonriver
0.360 (0.360)	concept:cityliesonriver <-- inv_concept:statehascapital, concept:cityliesonriver
0.409 (0.409)	concept:cityliesonriver <-- concept:riveremptiesintoriver, concept:cityliesonriver
0.335 (0.335)	concept:cityliesonriver <-- concept:academicprogramatuniversity, concept:cityliesonriver
0.333 (0.333)	concept:cityliesonriver <-- inv_concept:academicprogramatuniversity, concept:cityliesonriver
0.332 (0.332)	concept:cityliesonriver <-- inv_concept:parkincity, concept:cityliesonriver
0.329 (0.329)	concept:cityliesonriver <-- concept:sportsgameteam, concept:cityliesonriver
0.220 (0.220)	concept:stateorprovinceisborderedbystateorprovince <-- inv_concept:personhasresidenceingeopoliticallocation, concept:statelocatedingeopoliticallocation
0.195 (0.195)	concept:stateorprovinceisborderedbystateorprovince <-- concept:stateorprovinceisborderedbystateorprovince, concept:stateorprovinceisborderedbystateorprovince
0.522 (0.522)	concept:stateorprovinceisborderedbystateorprovince <-- concept:stateorprovinceisborderedbystateorprovince, concept:statelocatedingeopoliticallocation
0.160 (0.160)	concept:stateorprovinceisborderedbystateorprovince <-- inv_concept:statelocatedincountry, concept:statelocatedingeopoliticallocation
0.221 (0.221)	concept:stateorprovinceisborderedbystateorprovince <-- inv_concept:personhasresidenceingeopoliticallocation, concept:stateorprovinceisborderedbystateorprovince
0.174 (0.174)	concept:stateorprovinceisborderedbystateorprovince <-- concept:subpartof, concept:statelocatedingeopoliticallocation
0.158 (0.158)	concept:stateorprovinceisborderedbystateorprovince <-- inv_concept:politicianrepresentslocation, inv_concept:personhasresidenceingeopoliticallocation
0.149 (0.149)	concept:stateorprovinceisborderedbystateorprovince <-- concept:personhasresidenceingeopoliticallocation, concept:stateorprovinceisborderedbystateorprovince
0.143 (0.143)	concept:stateorprovinceisborderedbystateorprovince <-- concept:coachesinleague, concept:statelocatedingeopoliticallocation
0.144 (0.144)	concept:stateorprovinceisborderedbystateorprovince <-- concept:parkincity, concept:stateorprovinceisborderedbystateorprovince
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:teamplaysagainstteam, inv_concept:specializationof
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:specializationof, inv_concept:teamplaysagainstteam
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:teamplaysagainstteam, inv_concept:teamplaysagainstteam
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:specializationof, inv_concept:specializationof
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:citycapitalofcountry, inv_concept:teamplaysagainstteam
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:specializationof, inv_concept:citycapitalofcountry
0.010 (0.010)	concept:hasofficeincity <-- inv_concept:citycapitalofcountry, inv_concept:specializationof
0.009 (0.009)	concept:hasofficeincity <-- inv_concept:leaguestadiums, inv_concept:specializationof
0.009 (0.009)	concept:hasofficeincity <-- inv_concept:hasofficeincountry, inv_concept:specializationof
0.010 (0.010)	concept:bankbankincountry <-- inv_concept:citycapitalofcountry, concept:athletehomestadium
0.010 (0.010)	concept:bankbankincountry <-- concept:athletehomestadium, inv_concept:citycapitalofcountry
0.011 (0.011)	concept:bankbankincountry <-- inv_concept:citycapitalofcountry, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:bankbankincountry <-- inv_concept:leaguestadiums, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:bankbankincountry <-- concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.010 (0.010)	concept:bankbankincountry <-- inv_concept:specializationof, inv_concept:citycapitalofcountry
0.010 (0.010)	concept:bankbankincountry <-- inv_concept:teamplaysagainstteam, inv_concept:citycapitalofcountry
0.009 (0.009)	concept:bankbankincountry <-- inv_concept:politicianusmemberofpoliticalgroup, inv_concept:citycapitalofcountry
